English	Fulfulde	French
Return quickly.	Wartu lawlaw.	Reviens vite.
See you when I return.	Sey to mi warti.	À bientôt à mon retour.
Until you return	Sey to a warti.	Jusqu'à ton retour.
See you when I return.	Sey to mi lortoyi.	À bientôt à mon retour.
See you when you return.	Sey to a lortoyi.	À bientôt à ton retour.
You are right.	Goonga maa.	Tu as raison.
Very sorry.	Jurumɗum	Désolé.
Are you well?	A jamo?	Tu vas bien ?
No.	Aa'a.	Non.
No.	Kaay.	Non.
How are you?	Noy mbaaɗa?	Comment vas-tu ?
Is this a calabash?	Ɗum tummude naa?	Est-ce une calebasse ?
Is this Zeynabu's calabash?	Ɗum tummude Zeynabu naa?	Est-ce la calebasse de Zeynabu ?
Whose house is this?	Ɗum saare moy?	À qui est cette maison ?
Is it his house.	Ɗum saare maako.	Est-ce sa maison ?
Is there a calabash?	Woodi tummude naa?	Y a-t-il une calebasse ?
Yes, there is.	Ooho, woodi.	Oui, il y en a une.
Here is the calabash.	Ndaa tummude.	Voici la calebasse.
Is there a table?	Woodi taabal naa?	Y a-t-il une table ?
Here is the table.	Ndaa tebur.	Voici la table.
No, there is no table, however.	Aa'a, walaa taabal kam.	Non, il n'y a pas de table cependant.
What is it?	Ɗum ɗume?	Qu'est-ce que c'est ?
It is a bundle of millet.	Ɗum haɓɓere gawri.	C'est une botte de mil.
Is it a piece of paper?	Ɗum ɗereewol naa?	Est-ce une feuille de papier ?
Is it Saalihu's cotton?	Ɗum hottollo Saalihu naa?	Est-ce le coton de Saalihu ?
Yes, there is a door.	Ooho, woodi dammugal.	Oui, il y a une porte.
It is a room.	Ɗum suudu.	C'est une pièce.
Yes, here is the pillow.	Ohoo, ndaa waflaare.	Oui, voici l'oreiller.
Is there a mat?	Woodi daago na?	Y a-t-il un tapis ?
Where is your book?	Toy deftere maa?	Où est ton livre ?
My book is lost.	Deftere am majji.	Mon livre est perdu.
No, there is no bed.	Kaay, walaa leeso.	Non, il n'y a pas de lit.
Is there, a chair?	Woodi, koroowal na?	Y a-t-il une chaise ?
No, there is not.	Aa'a, walaa.	Non, il n'y en a pas.
It is list.	Nde majji.	C'est une liste.
What is your name?	Noy innde maa?	Quel est ton nom ?
What is that man's name?	Noy innde gorko man?	Quel est le nom de cet homme ?
What is the child's name?	Noy innde ɓingel?	Quel est le nom de l'enfant ?
Grass all over the compound.	Saare pat huɗo.	De l'herbe partout dans la concession.
Is there no fish?	Waala liingu naa?	N'y a-t-il pas de poisson ?
Is there no horse?	Waala puccu na?	N'y a-t-il pas de cheval ?
Is there no bird?	Woodaa sondu na?	N'y a-t-il pas d'oiseau ?
This sun.	Naange nge.	Ce soleil.
This bird.	Sondu ndu.	Cet oiseau.
It is lost.	Ndu majji.	Il est perdu.
This horse.	Puccu ngu.	Ce cheval.
It is lost.	Ngu majji.	Il est perdu.
Is there a cow?	Woodi nagge naa?	Y a-t-il une vache ?
Is it a Hausa?	Ɗum Hawsaajo naa?	Est-ce un Haoussa ?
It is not a Hausa.	Naa ɗum Hawsaajo.	Ce n'est pas un Haoussa.
It is an Adamawa Fulani.	Ɗum Pullo Adamaawa on.	C'est un Peul Adamawa.
Here is that cow.	Ndaa nagge man.	Voici cette vache.
Is there no chair?	Waala koroowal naa?	N'y a-t-il pas de chaise ?
Yes, there is no chair.	Ooho, walaa korowal.	Oui, il n'y a pas de chaise.
No, there is no chair.	Kaay, walaa korowal	Non, il n'y a pas de chaise.
Yes, there is a horse	Ooho, woodi puccu.	Oui, il y a un cheval.
No, there is a horse.	Kaay, woodi puccu.	Non, il y a un cheval.
This pot is not clean at all.	Fayande nde laaɓay sam.	Cette marmite n'est pas propre du tout.
This pot is clean.	Fayande nde laaɓi.	Cette marmite est propre.
Where the head of the household?	Toy jawmu saare?	Où est le chef de famille ?
The house owner is here?	Jawmu saare ɗon ɗo.	Le propriétaire de la maison est là ?
Fine, is the wife here too?	Too, daada saare ɗon naa kadi?	Bien, est-ce que la femme est là aussi ?
No, the wife is not here.	Aa'a, daada saare walaa ɗo.	Non, la femme n'est pas là.
He is there.	O ɗon ton.	Il est là.
Okay, good.	Too, boɗɗum.	D'accord, bien.
Is it a cow or cows?	Nagge na na'i?	Est-ce une vache ou des vaches ?
Is it a sheep or sheeps?	Mbaala na baali?	Est-ce un mouton ou des moutons ?
Is it a bird or birds?	Sondu na colli?	Est-ce un oiseau ou des oiseaux ?
is it a room or rooms?	Suudu na cuuɗi?	Est-ce une pièce ou des pièces ?
He is not coming with us.	O warataa bee amin.	Il ne vient pas avec nous.
Are you coming or not?	A waran na a warataa?	Tu viens ou pas ?
One patient came today.	Nyawɗo gooto wari hande.	Un patient est venu aujourd'hui.
Two patients came today.	Nyawɓe ɗiɗo wari hande.	Deux patients sont venus aujourd'hui.
Are you sick?	A nyawɗo naa?	Es-tu malade ?
Is there water there?	Nɗiyam ɗon ton naa?	Y a-t-il de l'eau là-bas ?
Is there food there?	Nyamdu ɗon ton naa?	Y a-t-il de la nourriture là-bas ?
Is there a pillow then?	Woodi waflaare naa kadi?	Y a-t-il un oreiller alors ?
Is this Gidaado's compound 	Ɗum saare Giɗaaɗo naa?	Est-ce la concession de Gidaado ?
Here is a guest.	Ndaa koɗo.	Voici un invité.
Okay, thanks Musa, welcome.	Too, use Musa, jaɓɓaams	D'accord, merci Musa, bienvenue.
It is not a door.	Naa ɗum dammugal.	Ce n'est pas une porte.
Is this milk?	Ɗum kossam naa?	Est-ce du lait ?
Firewood is finished.	Kuɓɓirɗum timmi.	Le bois de chauffe est fini.
Is there no firewood?	Walaa kuɓɓirɗum naa?	N'y a-t-il pas de bois de chauffe ?
This guinea fowl.	Jaawngal ngal.	Cette pintade.
This hippoppotamus.	Gabbu ngu.	Cet hippopotame.
What is this?	Ɗum ɗume?	Qu'est-ce que c'est ?
This is a goat.	Ɗum mbeewa.	C'est une chèvre.
Is there oil?	Woodi nyebbam naa?	Y a-t-il de l'huile ?
Where is the goat?	Toy Mbeewa?	Où est la chèvre ?
Is there a farm?	Ngesa ɗon naa?	Y a-t-il une ferme ?
Is there the mother?	Daada ɗon naa?	Y a-t-il la mère ?
What is is here?	Ɗume ɗo?	Qu'est-ce qu'il y a ici ?
What is it over there?	Ɗume ton?	Qu'est-ce qu'il y a là-bas ?
Is that man here today?	Gorko goo ɗon ɗo hande na?	Cet homme est-il ici aujourd'hui ?
He is inside the room.	O ɗon haa nder suudu.	Il est dans la pièce.
They are in Yola today	Ɓe ɗon haa Ƴola hande.	Ils sont à Yola aujourd'hui.
Okay, good, see you soon.	Too, boɗɗum, sey yeeso.	D'accord, bien, à bientôt.
This well.	Wawru ndu.	Ce puits.
This corral.	Waalde nde.	Ce corral.
The king's house.	Saare laamiɗo	La maison du roi.
This bottle.	Koloba ndu.	Cette bouteille.
This bottle.	Kolobaaru ndu.	Cette bouteille.
This river.	Maayo ngo.	Cette rivière.
This market.	Luumo ngo.	Ce marché.
This goat.	Mbeewa nga.	Cette chèvre.
This mat.	Daago ngo.	Ce tapis.
My cow is at the corral.	Nagge am ɗon haa waalde.	Ma vache est au corral.
Food is in the calabash.	Nyamdu ɗon haa nder tummude.	La nourriture est dans la calebasse.
Water is the well.	Ndiyam ɗon nder ɓundu.	L'eau est dans le puits.
There is no water in this well.	Walaa ndiyam nder ɓundu ndu.	Il n'y a pas d'eau dans ce puits.
They are at the river over there.	Ɓe ɗon haa maayo ton.	Ils sont à la rivière là-bas.
Buuba's book is in water.	Deftere Buuba ɗon haa nder ndiyam.	Le livre de Buuba est dans l'eau.
Is it in the room?	Ndu ɗon haa nder suudu naa?	Est-ce dans la chambre?
Is it over there?	Ngu ɗon ton naa?	Est-ce là-bas ?
At it.	Haa maaru.	À lui.
In it.	Haa nder maango.	En lui.
With it.	Bee maare.	Avec ca.
With the calabash.	Bee tummude.	Avec la calebasse.
With it.	Bee maangal.	Avec ca.
With it.	Bee maangu.	Avec nous.
With it.	Bee maaru 	Avec ca.
With it.	Bee maako.	Avec lui.
With it.	Bee maajam.	Avec ca.
With it.	Bee maango.	Avec ca.
Zeynabu is in it.	Zeynabu ɗon haa nder maaru.	Zeynabu est dedans.
The fish is in the water.	Liingu ɗon haa nder ndiyam.	Le poisson est dans l'eau.
We are at the market.	Min ɗon haa luumo.	Nous sommes au marché.
What is that guest's name?	Noy innde koɗo man?	Quel est le nom de cet invité ?
He is here today, in the room.	O ɗon ɗo hande, haa nder suudu.	Il est ici aujourd'hui, dans la pièce.
It is in the bottle here.	Ɗam ɗon nder koloba ɗo.	C'est dans la bouteille ici.
It is in this bottle.	Ɗam ɗon nder faandu ndu.	C'est dans cette bouteille.
We including you are at the market.	En ɗon haa luumo	Nous, y compris toi, sommes au marché.
We including you are in Adamawa.	En ɗon haa Adamaawa.	Nous, y compris toi, sommes en Adamawa.
There is Zeynabu there.	Ndaa Zeynabu ton.	Il y a Zeynabu là-bas.
Thank you, Sutura.	Use, Sutura.	Merci, Sutura.
To buy.	Soodugo.	Acheter.
To eat.	Nyaamugo.	Manger.
To close.	Maɓɓugo.	Fermer.
To open.	Maɓɓitugo.	Ouvrir.
To do.	Waɗugo.	Faire.
To spin.	Mottugo.	Filer.
This letter.	Pataakewol ngol.	Cette lettre.
This game.	Fijirde nde.	Ce jeu.
I am cooking food.	Mi ɗon defa nyaamdu.	Je cuisine de la nourriture.
You are eating fufu.	A ɗon nyaama nyiiri.	Tu manges du fufu.
She is reading.	O ɗon janga.	Elle lit.
I am writing.	Mi ɗon winda.	J'écris.
You are playing a game.	A ɗon fija fijirde.	Tu joues à un jeu.
She is spinning cotton.	O ɗon motta hottollo.	Elle file du coton.
Ai is opening the door.	Aa'i ɗon maɓɓita dammugal.	Ali ouvre la porte.
Yaakubu is closing the door.	Yaakubu ɗon maɓɓa dammugal.	Yaakubu ferme la porte.
What is the old man doing?	Nayeejo ɗon waɗa ɗume?	Que fait le vieil homme ?
The old man is sleeping.	Nayeejo ɗon ɗaana.	Le vieil homme dort.
What is Asta cooking?	Asta ɗon defa ɗume?	Qu'est-ce qu'Asta cuisine ?
What is Asta buying?	Asta ɗon sooda ɗume?	Qu'est-ce qu'Asta achète ?
Abdullahi is writing a letter.	Abdullahi ɗon winda pataakewol.	Abdullahi écrit une lettre.
What is Sutura eating?	Sutura ɗon nyaama ɗume?	Que mange Sutura ?
Where is Peter and John?	Toy Peter bee John?	Où sont Peter et John ?
Is Buba reading today evening?	Buuba ɗon janga hande kiikiɗe naa?	Buba lit-il ce soir ?
No, Buba is resting now.	Aa'a, Buuba ɗon siwta jooni.	Non, Buba se repose maintenant.
No, Buba is resting now.	Kay, Buuba ɗon siwta jonta.	Non, Buba se repose maintenant.
Really, is there tiredness then?	Asee, woodi comri naa?	Vraiment, y a-t-il de la fatigue alors ?
He goes to the market Sundays.	O ɗon yaha luumo nyande Alat.	Il va au marché le dimanche.
Salihu is going to the mosque.	Saalihu ɗon yaha juulirde.	Salihu va à la mosquée.
Usmanu goes to school.	Usmaanu ɗon yaha jangirde.	Usmanu va à l'école.
I cook on Mondays.	Mi ɗon defa nyande Altine.	Je cuisine le lundi.
You rest on Tuesdays.	A ɗon siwta Salaasa	Tu te reposes le mardi.
Does Sutura go to the market on Thursdays?	Sutura ɗon yaha luumo nyande Alhamiisa naa?	Sutura va-t-elle au marché le jeudi ?
No, only Fridays and Saturdays.	Kay, sey Jumɓaare bee Asawe.	Non, seulement le vendredi et le samedi.
Day of Wednesday.	Nyande Alarba.	Jour de mercredi.
He goes to bush in the morning.	O ɗon yaha ladde fajiri.	Il va dans la brousse le matin.
She rests on Wednesdays at midday.	O ɗon siwta Alarba caka naange.	Elle se repose le mercredi à midi.
He goes in the late morning.	O ɗon yaha baalte.	Il part en fin de matinée.
He goes to the shop at night.	O ɗon yaha butik jemma.	Il va à la boutique la nuit.
She doesn't cook, except the mornings.	O defataa, sey fajiri.	Elle ne cuisine que le matin.
Are you working today?	A ɗon huuwa hande naa?	Tu travailles aujourd'hui ?
I am not working today.	Mi huuwataa hande	Je ne travaille pas aujourd'hui.
Ali does not go to the bust at night.	Ali yahataa ladde jemma.	Ali ne va pas dans la brousse la nuit.
You are not going there.	A yahataa ton.	Tu n'y vas pas.
He is resting, except at noon.	O siwtataa, sey caka naange.	Il se repose, sauf à midi.
I am nor returning except at night.	Mi wartataa, sey kiikiɗe.	Je ne rentre que la nuit.
What are you doing?	Ko o waɗata?	Que fais-tu ?
What are you reading?	Ko a jangata?	Que lis-tu ?
When is Buba working?	Ndey Buuba huuwata?	Quand Buba travaille-t-il ?
When is Ali sleeping?	Ndey Ali ɗaanata?	Quand Ali dort-il ?
Good morning.	A fini jam?	Bonjour.
All the people of the resting today	Yimɓe wuro fuh ɓe ɗon siwta hande.	Tous les gens se reposent aujourd'hui.
They all are rest	Ɓe fuh ɓe ɗon siwta hande.	Ils se reposent tous.
But we do not have holidays at school.	Amma min walas siwtaaru haa jangirde.	Mais nous n'avons pas de vacances à l'école.
She is home, right?	O ɗon saare duu?	Elle est à la maison, n'est-ce pas ?
She is home, right?	O ɗon saare koo?	Elle est à la maison, n'est-ce pas ?
Yes, they are.	Ooho, ɓe ɗon.	Oui, ils le sont.
I speak Fulfulde.	Mi ɗon wolwa Fulfulde.	Je parle le fulfulde.
We including you speak Fulfulde.	En ɗon wolwa Fulfulde.	Nous, y compris toi, parlons le fulfulde.
We speak Fulfulde.	Min ɗon wolwa Fulfulde	Nous parlons le fulfulde.
They understand Fulfulde.	Ɓe ɗon nana Fuldulde	Ils comprennent le fulfulde.
We including you are going to the corrals.	En ɗon yaha waalde	Nous, y compris toi, allons aux enclos.
Here is a picture of the home.	Ndaa foto saare.	Voici une image de la maison.
The picture is beautiful.	Foto man wooɗi.	L'image est belle.
He is lying down.	O ɗon waali.	Il est allongé.
He is sleeping.	O ɗon daani.	Il dort.
He is slepeping under the car.	O ɗon jooɗi under the car.	Il dort sous la voiture.
She is standing.	O ɗon dari.	Elle est debout.
Usmanu is opening the window.	Usmaanu ɗon maɓɓita taaga.	Usmanu ouvre la fenêtre.
This window.	Taaga nga.	Cette fenêtre.
He is carrying things.	O ɗon roondi kare.	Il porte des affaires.
He is carrying the old man's things.	O ɗon roondi kare nayeejo.	Il porte les affaires du vieil homme.
Yes, the window is opened.	Ooho, taaga ɗon maɓɓiti.	Oui, la fenêtre est ouverte.
Are the bottle and cooking pot closed?	Faandu bee fayande ɗon maɓɓi naa?	La bouteille et la marmite sont-elles fermées ?
What is Buba doing in the evening?	Ɗume Buuba waɗata kiikiɗe?	Que fait Buba le soir ?
They sre sitting there.	Ɓe ɗon jooɗi ton.	Ils sont assis là.
Exaxtly so, they are all here.	Nonnon boo, ɓe fuh ɓe ɗon ɗo.	Exactement, ils sont tous ici.
Here is a picture of Ali's child.	Ndaa foto ɓingel Ali.	Voici une image de l'enfant d'Ali.
No, Buba is not sleeping.	Kaay, Buuba ɗaanaaki.	Non, Buba ne dort pas.
Who is carrying the firewood?	Moy ɗon roondi kuɓɓirɗum	Qui porte le bois de chauffe ?
I am not carrying anything.	Mi roonday kooɗume.	Je ne porte rien.
Previously she was spinning, now see, she is pounding.	Naane o ɗonno motta, jonta ndaa o ɗon una.	Auparavant, elle filait, maintenant regarde, elle pile.
Are you sleeping?	A ɗon ɗaani naa?	Tu dors ?
I did not sit down, did nor lie down.	Mi jooɗaaki, mi waalaaki.	Je ne me suis pas assis, je ne me suis pas allongé.
I was going to Kano.	Mi ɗonno yaha Kano	J'allais à Kano.
Alim was holding a stick.	Alim ɗonno jogi sawru.	Alim tenait un bâton.
I was not going to Kano.	Mi yahataano Kano.	Je n'allais pas à Kano.
I was not sleeping at that time.	Mi ɗaanaakino wakkati man.	Je ne dormais pas à ce moment-là.
You were not carrying a calabash.	A roondayno tummude.	Tu ne portais pas de calebasse.
They were not holding a stick.	Ɓe jogaakino sawru	Ils ne tenaient pas de bâton.
She was not play ball then.	O fijataano balon.	Elle ne jouait pas au ballon alors.
She does not play ball.	O fijataa balon.	Elle ne joue pas au ballon.
She had not played ball.	O fijay balon.	Elle n'avait pas joué au ballon.
He had not played ball then.	O fijayno balon.	Il n'avait pas joué au ballon alors.
